time,precipitation,precipitation_probability,temperature_2m
2025-11-26T22:00:00.000Z,0,0,9.256500244140625
2025-11-26T23:00:00.000Z,0,0,8.356500625610352
2025-11-27T00:00:00.000Z,0,0,7.606499671936035
2025-11-27T01:00:00.000Z,0,0,6.7064995765686035
2025-11-27T02:00:00.000Z,0,0,5.856499671936035
2025-11-27T03:00:00.000Z,0,0,5.156499862670898
2025-11-27T04:00:00.000Z,0,0,4.106499671936035
2025-11-27T05:00:00.000Z,0,0,3.6565001010894775
2025-11-27T06:00:00.000Z,0,0,2.8564999103546143
2025-11-27T07:00:00.000Z,0,0,3.1064999103546143
2025-11-27T08:00:00.000Z,0,0,5.006499767303467
2025-11-27T09:00:00.000Z,0,0,7.30649995803833
2025-11-27T10:00:00.000Z,0,0,9.006500244140625
2025-11-27T11:00:00.000Z,0,0,10.606500625610352
2025-11-27T12:00:00.000Z,0,0,12.056500434875488
2025-11-27T13:00:00.000Z,0,0,12.656499862670898
2025-11-27T14:00:00.000Z,0,0,12.756500244140625
2025-11-27T15:00:00.000Z,0,0,12.156499862670898
2025-11-27T16:00:00.000Z,0,0,11.156499862670898
2025-11-27T17:00:00.000Z,0,0,9.256500244140625
2025-11-27T18:00:00.000Z,0,0,7.656499862670898
2025-11-27T19:00:00.000Z,0,0,6.406499862670898
2025-11-27T20:00:00.000Z,0,0,5.30649995803833
2025-11-27T21:00:00.000Z,0,0,4.4564995765686035
2025-11-27T22:00:00.000Z,0,0,3.4565000534057617
2025-11-27T23:00:00.000Z,0,0,2.256500005722046
2025-11-28T00:00:00.000Z,0,0,1.6065000295639038
2025-11-28T01:00:00.000Z,0,0,1.3565000295639038
2025-11-28T02:00:00.000Z,0,0,0.906499981880188
2025-11-28T03:00:00.000Z,0,0,0.4065000116825104
2025-11-28T04:00:00.000Z,0,0,0.2565000057220459
2025-11-28T05:00:00.000Z,0,0,-0.09350000321865082
2025-11-28T06:00:00.000Z,0,0,-0.2434999942779541
2025-11-28T07:00:00.000Z,0,0,0.05650000274181366
2025-11-28T08:00:00.000Z,0,0,2.506500005722046
2025-11-28T09:00:00.000Z,0,0,4.9564995765686035
2025-11-28T10:00:00.000Z,0,0,7.156499862670898
2025-11-28T11:00:00.000Z,0,0,8.606500625610352
2025-11-28T12:00:00.000Z,0,0,9.606500625610352
2025-11-28T13:00:00.000Z,0,0,10.456500053405762
2025-11-28T14:00:00.000Z,0,0,10.856500625610352
2025-11-28T15:00:00.000Z,0,0,10.656499862670898
2025-11-28T16:00:00.000Z,0,0,9.656499862670898
2025-11-28T17:00:00.000Z,0,0,7.4564995765686035
2025-11-28T18:00:00.000Z,0,0,5.406499862670898
2025-11-28T19:00:00.000Z,0,0,4.156499862670898
2025-11-28T20:00:00.000Z,0,0,2.9065001010894775
2025-11-28T21:00:00.000Z,0,0,2.05649995803833
2025-11-28T22:00:00.000Z,0,0,1.4565000534057617
2025-11-28T23:00:00.000Z,0,0,1.3565000295639038
2025-11-29T00:00:00.000Z,0,0,1.05649995803833
2025-11-29T01:00:00.000Z,0,0,0.7064999938011169
2025-11-29T02:00:00.000Z,0,0,0.8565000295639038
2025-11-29T03:00:00.000Z,0,0,1.30649995803833
2025-11-29T04:00:00.000Z,0,0,1.406499981880188
2025-11-29T05:00:00.000Z,0,0,1.30649995803833
2025-11-29T06:00:00.000Z,0,0,1.1065000295639038
2025-11-29T07:00:00.000Z,0,0,1.6065000295639038
2025-11-29T08:00:00.000Z,0,0,4.7064995765686035
2025-11-29T09:00:00.000Z,0,0,7.856499671936035
2025-11-29T10:00:00.000Z,0,0,9.956500053405762
2025-11-29T11:00:00.000Z,0,0,11.306500434875488
2025-11-29T12:00:00.000Z,0,0,12.456500053405762
2025-11-29T13:00:00.000Z,0,0,13.206500053405762
2025-11-29T14:00:00.000Z,0,0,13.806500434875488
2025-11-29T15:00:00.000Z,0,0,13.506500244140625
2025-11-29T16:00:00.000Z,0,0,12.706500053405762
2025-11-29T17:00:00.000Z,0,0,11.156499862670898
2025-11-29T18:00:00.000Z,0,0,10.256500244140625
2025-11-29T19:00:00.000Z,0,0,9.806500434875488
2025-11-29T20:00:00.000Z,0,0,9.706500053405762
2025-11-29T21:00:00.000Z,0,1,9.606500625610352
2025-11-29T22:00:00.000Z,0,1,10.606500625610352
2025-11-29T23:00:00.000Z,0,1,10.356500625610352
2025-11-30T00:00:00.000Z,0,4,10.056500434875488
2025-11-30T01:00:00.000Z,0,1,10.406499862670898
2025-11-30T02:00:00.000Z,0,4,9.806500434875488
2025-11-30T03:00:00.000Z,0,2,10.106500625610352
2025-11-30T04:00:00.000Z,0,3,10.406499862670898
2025-11-30T05:00:00.000Z,0,10,9.656499862670898
2025-11-30T06:00:00.000Z,0,1,9.506500244140625
2025-11-30T07:00:00.000Z,0,1,9.406499862670898
2025-11-30T08:00:00.000Z,0,1,10.256500244140625
2025-11-30T09:00:00.000Z,0,2,12.006500244140625
2025-11-30T10:00:00.000Z,0,2,13.506500244140625
2025-11-30T11:00:00.000Z,0,2,13.406499862670898
2025-11-30T12:00:00.000Z,0,4,12.306500434875488
2025-11-30T13:00:00.000Z,0,7,12.006500244140625
2025-11-30T14:00:00.000Z,0,8,12.006500244140625
2025-11-30T15:00:00.000Z,0,24,11.956500053405762
2025-11-30T16:00:00.000Z,1,37,10.256500244140625
2025-11-30T17:00:00.000Z,0.5,32,10.156499862670898
2025-11-30T18:00:00.000Z,0.30000001192092896,25,9.856500625610352
2025-11-30T19:00:00.000Z,0.10000000149011612,15,9.406499862670898
2025-11-30T20:00:00.000Z,0,11,9.356500625610352
2025-11-30T21:00:00.000Z,0,7,9.106500625610352
2025-11-30T22:00:00.000Z,0,2,8.856500625610352
2025-11-30T23:00:00.000Z,0,1,9.056500434875488
2025-12-01T00:00:00.000Z,0,1,8.906499862670898
2025-12-01T01:00:00.000Z,0,0,8.506500244140625
2025-12-01T02:00:00.000Z,0,0,8.106500625610352
2025-12-01T03:00:00.000Z,0,0,7.856499671936035
2025-12-01T04:00:00.000Z,0,0,7.606499671936035
2025-12-01T05:00:00.000Z,0,0,6.756499767303467
2025-12-01T06:00:00.000Z,0,0,5.856499671936035
2025-12-01T07:00:00.000Z,0,0,5.55649995803833
2025-12-01T08:00:00.000Z,0,0,6.006499767303467
2025-12-01T09:00:00.000Z,0,1,7.406499862670898
2025-12-01T10:00:00.000Z,0,1,8.756500244140625
2025-12-01T11:00:00.000Z,0,1,9.656499862670898
2025-12-01T12:00:00.000Z,0,2,11.256500244140625
2025-12-01T13:00:00.000Z,0,2,12.406499862670898
2025-12-01T14:00:00.000Z,0,2,12.156499862670898
2025-12-01T15:00:00.000Z,0,6,11.756500244140625
2025-12-01T16:00:00.000Z,0,4,11.856500625610352
2025-12-01T17:00:00.000Z,0,3,11.606500625610352
2025-12-01T18:00:00.000Z,0,7,11.206500053405762
2025-12-01T19:00:00.000Z,0.7000000476837158,38,10.456500053405762
2025-12-01T20:00:00.000Z,1.5999999046325684,87,9.956500053405762
2025-12-01T21:00:00.000Z,3.4000000953674316,97,10.006500244140625
2025-12-01T22:00:00.000Z,0.800000011920929,92,9.956500053405762
2025-12-01T23:00:00.000Z,2.5,99,9.756500244140625
2025-12-02T00:00:00.000Z,0.699999988079071,100,9.556500434875488
2025-12-02T01:00:00.000Z,2.3000001907348633,100,9.356500625610352
2025-12-02T02:00:00.000Z,4,100,9.456500053405762
2025-12-02T03:00:00.000Z,1,99,9.606500625610352
2025-12-02T04:00:00.000Z,0.30000001192092896,87,9.856500625610352
2025-12-02T05:00:00.000Z,0,47,10.256500244140625
2025-12-02T06:00:00.000Z,0,25,9.756500244140625
2025-12-02T07:00:00.000Z,0,5,9.906499862670898
2025-12-02T08:00:00.000Z,0,6,10.456500053405762
2025-12-02T09:00:00.000Z,0,5,11.356500625610352
2025-12-02T10:00:00.000Z,0,1,10.806500434875488
2025-12-02T11:00:00.000Z,0,0,12.156499862670898
2025-12-02T12:00:00.000Z,0,0,11.656499862670898
2025-12-02T13:00:00.000Z,0,0,10.806500434875488
