"Start Date:01/14/2026 12:00 AM End Date:01/23/2026 12:00 AM","","","","","","","","","","",""
"DATE","Vehicle ID","Number","Route","Station","ARRIVAL","DEPARTURE","Dwell (sec)","APC Boardings","APC Alightings","EPC Boardings","EPC Alightings"
"2026-01-14","21-138","NIS","Haley West","Crossland Downs & Large Animal Teaching Hospital","06:44:02","06:44:02","0","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","Greene Hall","06:44:02","06:44:02","0","0","0","0","0"
"2026-01-14","21-158","NIS","South College","College of Veterinary Medicine","06:44:08","06:44:08","0","0","0","0","0"
"2026-01-14","21-168","NIS","South Quad/Fine Arts","The Brookes & Hearthstone","06:44:09","06:44:09","0","0","0","0","0"
"2026-01-14","21-158","NIS","South College","Greene Hall","06:44:18","06:44:18","0","0","0","0","0"
"2026-01-14","21-160","NIS","East Glenn ","Gentilly Park","06:44:22","06:44:34","12","0","0","0","0"
"2026-01-14","21-138","NIS","Haley West","Greene Hall","06:44:22","06:44:22","0","0","0","0","0"
"2026-01-14","21-139","NIS","North Auburn","North Dean & Drew Ln","06:44:24","06:44:24","0","0","0","0","0"
"2026-01-14","21-113","NIS","Haley West","Madison Park","06:44:27","06:44:27","0","0","0","0","0"
"2026-01-14","21-148","07:00:00-27089","North Dean -AM  (before 11 am)","Auburn Mall","06:44:30","06:59:57","927","1","1","0","0"
"2026-01-14","21-133","NIS","West Glenn","Gentilly Park","06:44:33","06:45:03","30","0","0","0","0"
"2026-01-14","21-120","NIS","Old Row - West Parking","Gentilly Park","06:44:36","06:45:33","57","0","0","0","0"
"2026-01-14","21-115","NIS","College Loop","Madison Park","06:44:38","06:44:38","0","0","0","0","0"
"2026-01-14","21-116","NIS","North Ross","Madison Park","06:44:38","06:44:38","0","0","0","0","0"
"2026-01-14","21-123","NIS","Magnolia","Eagles West Apartments ","06:44:39","06:44:39","0","0","0","0","0"
"2026-01-14","21-122","NIS","East Glenn ","South College St & East University Dr","06:44:49","06:44:49","0","0","0","0","0"
"2026-01-14","21-168","NIS","South Quad/Fine Arts","College of Veterinary Medicine","06:44:49","06:44:49","0","0","0","0","0"
"2026-01-14","21-160","NIS","East Glenn ","Madison Park","06:44:54","06:44:54","0","0","0","0","0"
"2026-01-14","21-115","NIS","College Loop","The Brookes & Hearthstone","06:45:18","06:45:18","0","0","0","0","0"
"2026-01-14","21-116","NIS","North Ross","The Brookes & Hearthstone","06:45:18","06:45:18","0","0","0","0","0"
"2026-01-14","21-118","NIS","Old Row - West Parking","Gentilly Park","06:45:22","06:45:59","37","0","0","0","0"
"2026-01-14","21-160","NIS","East Glenn ","The Brookes & Hearthstone","06:45:24","06:45:24","0","0","0","0","0"
"2026-01-14","21-161","NIS","No Route","Crossland Downs & Large Animal Teaching Hospital","06:45:33","06:45:33","0","0","0","0","0"
"2026-01-14","21-102","NIS","West Campus","Gentilly Park","06:45:34","06:46:09","35","0","0","0","0"
"2026-01-14","21-113","NIS","Haley West","Crossland Downs & Stone Gate Mobile Home Community","06:45:35","06:45:35","0","0","0","0","0"
"2026-01-14","21-101","07:00:00-27090","North Donahue","Donahue Crossing 1st Stop","06:45:37","07:00:35","898","2","0","0","0"
"2026-01-14","21-120","NIS","Old Row - West Parking","Madison Park","06:45:42","06:45:42","0","0","0","0","0"
"2026-01-14","21-139","07:00:00-27085","North Auburn","Aspen Heights Ln","06:45:44","07:00:13","869","2","1","0","0"
"2026-01-14","21-106","NIS","South Donahue","Gentilly Park","06:45:47","06:46:19","32","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","Lem Morrison Drive (New Frat Row)","06:45:47","06:45:47","0","0","0","0","0"
"2026-01-14","21-116","NIS","North Ross","Crossland Downs & Stone Gate Mobile Home Community","06:45:49","06:45:49","0","0","0","0","0"
"2026-01-14","21-122","NIS","East Glenn ","AU Federal Credit Union","06:45:54","06:46:40","46","0","0","0","0"
"2026-01-14","21-160","NIS","East Glenn ","Crossland Downs & Stone Gate Mobile Home Community","06:45:54","06:45:54","0","0","0","0","0"
"2026-01-14","21-111","NIS","Glenn-Harper","Gentilly Park","06:45:58","06:46:26","28","0","0","0","0"
"2026-01-14","21-161","NIS","No Route","College of Veterinary Medicine","06:46:00","06:46:47","47","0","0","0","0"
"2026-01-14","21-134","NIS","North Dean - PM (after 11 am)","Lem Morrison Drive (New Frat Row)","06:46:01","06:46:01","0","0","0","0","0"
"2026-01-14","21-133","NIS","West Glenn","The Brookes & Hearthstone","06:46:04","06:46:04","0","0","0","0","0"
"2026-01-14","21-118","NIS","Old Row - West Parking","Madison Park","06:46:09","06:46:09","0","0","0","0","0"
"2026-01-14","21-110","NIS","North Donahue","Gentilly Park","06:46:10","06:46:36","26","0","0","0","0"
"2026-01-14","21-113","NIS","Haley West","College of Veterinary Medicine","06:46:10","06:46:49","39","0","0","0","0"
"2026-01-14","21-120","NIS","Old Row - West Parking","The Brookes & Hearthstone","06:46:12","06:46:12","0","0","0","0","0"
"2026-01-14","21-115","NIS","College Loop","College of Veterinary Medicine","06:46:16","06:46:51","35","0","0","0","0"
"2026-01-14","21-116","NIS","North Ross","College of Veterinary Medicine","06:46:17","06:47:12","55","0","0","0","0"
"2026-01-14","21-102","NIS","West Campus","Madison Park","06:46:19","06:46:19","0","0","0","0","0"
"2026-01-14","21-133","NIS","West Glenn","Crossland Downs & Stone Gate Mobile Home Community","06:46:24","06:46:24","0","0","0","0","0"
"2026-01-14","21-151","NIS","Park & Ride","Gentilly Park","06:46:25","06:46:49","24","0","0","0","0"
"2026-01-14","21-123","07:00:00-27083","Magnolia","Lowder Hall & Shelby Center (From Campus)","06:46:25","07:00:22","837","1","1","0","0"
